internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
185205,Saxicolella flabellata,PLANTAE,TRACHEOPHYTA,PODOSTEMALES,MAGNOLIOPSIDA,PODOSTEMACEAE,Saxicolella,flabellata,,,,,(G.Taylor) C.Cusset,"Herb annual or perennial aquatic. Roots usually flattened, thalloid or filiform. Leaves distichous scattered or imbricated ; Flower bisexual, solitary actinomorphic or zygomorphic."
185215,Xyris densa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,densa,,,,,Malme,"Requires taxonomic clarification with potential or actual synonyms. Could well be another synonym of <span style=""font-style: italic;"">X. angustifolia</span>, or possibly <span style=""font-style: italic;"">X. capillaris</span>."
185216,Drepanocladus hallii,PLANTAE,BRYOPHYTA,HYPNALES,BRYOPSIDA,AMBLYSTEGIACEAE,Drepanocladus,hallii,,,,,Broth. &amp; Dixon,"Possibly a synonym of <span style=""font-style: italic;"">Leptodictyum riparium</span>. Also according to Ochyra (pers. comm.) in O'Shea (1999) the type of this taxon is <span style=""font-style: italic;"">D. sendtneri</span>, but this has not yet been published."
185226,Wachendorfia thyrsiflora,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,HAEMODORACEAE,Wachendorfia,thyrsiflora,,,,,Burm.,
185229,Drepanocladus sparsus,PLANTAE,BRYOPHYTA,HYPNALES,BRYOPSIDA,AMBLYSTEGIACEAE,Drepanocladus,sparsus,,,,,Müll.Hal.,"According to Ochyra (pers. comm.) in O'Shea (1999) the type of this taxon is <span style=""font-style: italic;"">Leptodictyum riparium</span>, but this has not yet been published. Also perhaps refers to <span style=""font-style: italic;"">D. sendtneri</span> (Cook 2004)."
185239,Nymphaea sulphurea,PLANTAE,TRACHEOPHYTA,NYMPHAEALES,MAGNOLIOPSIDA,NYMPHAEACEAE,Nymphaea,sulphurea,,,,,Gilg,
185259,Drosera elongata,PLANTAE,TRACHEOPHYTA,NEPENTHALES,MAGNOLIOPSIDA,DROSERACEAE,Drosera,elongata,,,,,Exell &amp; J.R.Laundon,
185261,Hygrophila laevis,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,laevis,,,,,(Nees) Lindau,
185263,Xyris popeana,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,popeana,,,,,Lisowski,
185272,Hygrophila borellii,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,borellii,,,,,(Lindau) Heine,Poor literature.
185275,Eriocaulon meiklei,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,meiklei,,,,,Moldenke,
185296,Lobelia quadrisepala,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Lobelia,quadrisepala,,,,,(R.D.Good) E.Wimm.,"<span style=""font-style: italic;"">Lobelia limosa</span> is considered synonymous with<span style=""font-style: italic;""> L. angolensis</span> in Cook 2004"
185297,Blyxa senegalensis,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Blyxa,senegalensis,,,,,Dandy,
